,emocao,tempo,size
962,Confuso,614.0,3
963,Confuso,616.0,4
964,Confuso,618.0,2
965,Confuso,620.0,2
966,Confuso,622.0,4
967,Confuso,624.0,4
968,Confuso,626.0,3
969,Confuso,628.0,3
970,Confuso,630.0,3
971,Confuso,632.0,4
972,Confuso,634.0,3
973,Confuso,636.0,2
974,Confuso,638.0,3
975,Confuso,640.0,5
976,Confuso,642.0,3
977,Confuso,644.0,5
978,Confuso,646.0,4
979,Confuso,648.0,4
980,Confuso,650.0,4
981,Confuso,652.0,4
982,Confuso,654.0,4
983,Confuso,656.0,4
984,Confuso,658.0,4
985,Confuso,660.0,2
986,Confuso,662.0,3
987,Confuso,664.0,3
988,Confuso,670.0,4
989,Confuso,674.0,5
990,Confuso,678.0,4
991,Confuso,680.0,3
992,Confuso,682.0,3
993,Confuso,684.0,4
994,Confuso,686.0,4
995,Confuso,688.0,5
996,Engajado,0.0,4
997,Engajado,2.0,4
998,Engajado,4.0,4
999,Engajado,6.0,4
1000,Engajado,8.0,4
1001,Engajado,10.0,4
1002,Engajado,12.0,6
1003,Engajado,14.0,6
1004,Engajado,16.0,6
1005,Engajado,18.0,6
1006,Engajado,20.0,6
1007,Engajado,22.0,5
1008,Engajado,24.0,5
1009,Engajado,28.0,7
1010,Engajado,30.0,8
1011,Engajado,32.0,4
1012,Engajado,34.0,6
1013,Engajado,36.0,7
1014,Engajado,38.0,7
1015,Engajado,40.0,6
1016,Engajado,42.0,6
1017,Engajado,44.0,6
1018,Engajado,46.0,6
1019,Engajado,48.0,6
1020,Engajado,50.0,6
1021,Engajado,52.0,6
1022,Engajado,54.0,6
1023,Engajado,56.0,6
1024,Engajado,58.0,5
1025,Engajado,60.0,5
1026,Engajado,62.0,7
1027,Engajado,64.0,5
1028,Engajado,66.0,6
1029,Engajado,68.0,5
1030,Engajado,70.0,5
1031,Engajado,72.0,7
1032,Engajado,74.0,6
1033,Engajado,76.0,6
1034,Engajado,78.0,6
1035,Engajado,80.0,6
1036,Engajado,82.0,6
1037,Engajado,84.0,6
1038,Engajado,86.0,5
1039,Engajado,88.0,5
1040,Engajado,90.0,5
1041,Engajado,92.0,5
1042,Engajado,94.0,5
